,design,nr,ntheta,nx,panels,A,B
309,"design_5.722222222222221,14.166666666666668",2,25,30,425,313174.83776936214,43579.4013987464
310,"design_5.722222222222221,14.166666666666668",2,30,10,210,324592.01130388107,47536.845670169154
311,"design_5.722222222222221,14.166666666666668",2,30,15,300,319800.9644341676,45941.31565749905
312,"design_5.722222222222221,14.166666666666668",2,30,20,360,317333.4638710717,45127.47912304656
313,"design_5.722222222222221,14.166666666666668",2,30,25,450,315838.0965394774,44628.74696831671
314,"design_5.722222222222221,14.166666666666668",2,30,30,510,314846.37864432926,44301.8670305173
315,"design_5.722222222222221,14.166666666666668",2,35,10,245,325656.07684548525,48029.357874959635
316,"design_5.722222222222221,14.166666666666668",2,35,15,350,320868.6735367695,46437.79578652542
317,"design_5.722222222222221,14.166666666666668",2,35,20,420,318395.7541413811,45620.59196033596
318,"design_5.722222222222221,14.166666666666668",2,35,25,525,316897.98569571896,45121.20446117297
319,"design_5.722222222222221,14.166666666666668",2,35,30,595,315901.6501894519,44793.9059061295
320,"design_5.722222222222221,14.166666666666668",2,40,10,280,326372.6710217137,48393.214708063766
321,"design_5.722222222222221,14.166666666666668",2,40,15,400,321587.6666203571,46795.50947611968
322,"design_5.722222222222221,14.166666666666668",2,40,20,480,319116.75520500395,45981.466267736556
